Hora,Entidad,Municipioenqueselevioporultimavez,Estatura,Sexo,Edad
12:00:PM,GUERRERO,ACAPULCODEJUAREZ,0.3,HOMBRE,1
9:00:AM,ESTADODEMEXICO,CHALCO,0.35,MUJER,1
10:00:AM,PUEBLA,HUEJOTZINGO,0.4,HOMBRE,1
10:00:AM,AGUASCALIENTES,JESUSMARIA,0.4,HOMBRE,3
10:00:AM,GUERRERO,COYUCADEBENITEZ,0.4,MUJER,4
10:00:AM,MORELOS,XOCHITEPEC,0.4,MUJER,null
2:30:AM,PUEBLA,ACATLAN,0.42,HOMBRE,null
7:00:AM,PUEBLA,TEHUACAN,0.42,HOMBRE,null
10:00:AM,ESTADODEMEXICO,ZACUALPAN,0.45,HOMBRE,4
7:00:AM,PUEBLA,PUEBLA,0.47,MUJER,1
12:00:PM,ESTADODEMEXICO,VALLEDEBRAVO,0.49,HOMBRE,null
2:00:AM,PUEBLA,PUEBLA,0.5,MUJER,1
12:00:PM,TAMAULIPAS,GUERRERO,0.5,MUJER,1
10:30:12AM,ESTADODEMEXICO,IXTLAHUACA,0.5,HOMBRE,1
12:00:PM,TAMAULIPAS,MATAMOROS,0.5,HOMBRE,1
12:00:PM,ESTADODEMEXICO,SANMATEOATENCO,0.5,HOMBRE,1
7:00:AM,PUEBLA,TEHUACAN,0.5,MUJER,1
12:00:PM,PUEBLA,PUEBLA,0.5,HOMBRE,1
1:00:AM,ESTADODEMEXICO,TOLUCA,0.5,HOMBRE,1
11:00:AM,PUEBLA,XIUTETELCO,0.5,HOMBRE,1
4:30:AM,PUEBLA,PUEBLA,0.5,MUJER,1
8:40:AM,PUEBLA,SANSALVADORELSECO,0.5,MUJER,2
10:00:AM,PUEBLA,HUEJOTZINGO,0.5,HOMBRE,2
12:00:PM,ZACATECAS,HUANUSCO,0.5,MUJER,3
5:00:AM,PUEBLA,PUEBLA,0.5,HOMBRE,6
12:00:PM,SONORA,AGUAPRIETA,0.5,MUJER,27
8:30:AM,SONORA,HERMOSILLO,0.5,MUJER,null
11:30:AM,ESTADODEMEXICO,CHICOLOAPAN,0.5,HOMBRE,null
10:00:AM,HIDALGO,TASQUILLO,0.5,MUJER,null
3:00:AM,PUEBLA,XICOTEPEC,0.5,HOMBRE,null
11:00:AM,PUEBLA,TEHUACAN,0.5,MUJER,null
4:26:AM,CHIAPAS,TUXTLAGUTIERREZ,0.5,HOMBRE,null
11:30:AM,ESTADODEMEXICO,IXTAPALUCA,0.5,MUJER,null
11:30:AM,PUEBLA,HUAUCHINANGO,0.51,MUJER,null
4:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.52,HOMBRE,null
3:30:AM,ESTADODEMEXICO,JILOTZINGO,0.53,MUJER,null
5:45:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.54,MUJER,1
12:00:PM,CHIAPAS,null,0.54,MUJER,null
1:33:AM,CHIAPAS,COMITANDEDOMINGUEZ,0.54,MUJER,null
7:00:AM,ESTADODEMEXICO,OTZOLOTEPEC,0.54,MUJER,null
8:00:47AM,ESTADODEMEXICO,XONACATLAN,0.55,HOMBRE,2
9:00:AM,PUEBLA,PUEBLA,0.55,HOMBRE,null
11:00:AM,COLIMA,COLIMA,0.56,MUJER,1
1:00:AM,ESTADODEMEXICO,ZINACANTEPEC,0.56,MUJER,null
2:45:AM,ESTADODEMEXICO,COATEPECHARINAS,0.57,MUJER,null
2:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.58,HOMBRE,1
5:00:AM,PUEBLA,PUEBLA,0.58,MUJER,null
9:00:AM,COLIMA,MANZANILLO,0.58,MUJER,null
12:00:PM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.58,HOMBRE,null
10:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.6,MUJER,1
11:00:AM,GUERRERO,TAXCODEALARCON,0.6,MUJER,1
12:00:PM,PUEBLA,PUEBLA,0.6,MUJER,1
3:00:AM,PUEBLA,CHALCHICOMULADESESMA,0.6,HOMBRE,1
7:30:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.6,MUJER,1
10:00:AM,GUERRERO,TIXTLADEGUERRERO,0.6,HOMBRE,1
5:30:AM,ESTADODEMEXICO,CHICOLOAPAN,0.6,MUJER,1
11:00:AM,ESTADODEMEXICO,ALMOLOYADEJUAREZ,0.6,HOMBRE,1
10:37:AM,CHIAPAS,LASROSAS,0.6,MUJER,1
